Absorber,Thickness,Defect,Donor_density,PCE,,,
CsPbBr3,0.3,1000000000000,1000000000000,4.06617705,,,
CsPbBr3,0.3,1000000000000,10000000000000,4.0661406,,,
CsPbBr3,0.3,1000000000000,100000000000000,4.06578585,,,
CsPbBr3,0.3,1000000000000,1E15,4.0619231,,,
CsPbBr3,0.3,10000000000000,10000000000,4.06299946,,,
CsPbBr3,0.3,10000000000000,100000000000,4.06299904,,,
CsPbBr3,0.3,10000000000000,1000000000000,4.06299487,,,
CsPbBr3,0.3,10000000000000,10000000000000,4.06295314,,,
CsPbBr3,0.3,10000000000000,100000000000000,4.06254444,,,
CsPbBr3,0.3,10000000000000,1E15,4.05802625,,,
CsPbBr3,0.3,100000000000000,10000000000,4.03374859,,,
CsPbBr3,0.3,100000000000000,100000000000,4.03374773,,,
CsPbBr3,0.3,100000000000000,1000000000000,4.03373915,,,
CsPbBr3,0.3,100000000000000,10000000000000,4.03365321,,,
CsPbBr3,0.3,100000000000000,100000000000000,4.03279409,,,
CsPbBr3,0.3,100000000000000,1E15,4.02285848,,,
CsPbBr3,0.3,1E15,10000000000,3.85801501,,,
CsPbBr3,0.3,1E15,100000000000,3.85801273,,,
CsPbBr3,0.3,1E15,1000000000000,3.85798991,,,
CsPbBr3,0.3,1E15,10000000000000,3.85776139,,,
CsPbBr3,0.3,1E15,100000000000000,3.85545432,,,
CsPbBr3,0.3,1E15,1E15,3.82861217,,,
CsPbBr3,0.3,1E16,10000000000,3.44868505,,,
CsPbBr3,0.3,1E16,100000000000,3.4486827,,,
CsPbBr3,0.3,1E16,1000000000000,3.44865928,,,
CsPbBr3,0.3,1E16,10000000000000,3.44842438,,,
CsPbBr3,0.3,1E16,100000000000000,3.44600108,,,
CsPbBr3,0.3,1E16,1E15,3.41237479,,,
CsPbBr3,0.4,1000000000000,10000000000,4.46779006,,,
CsPbBr3,0.4,1000000000000,100000000000,4.46778971,,,
CsPbBr3,0.4,1000000000000,1000000000000,4.46778622,,,
CsPbBr3,0.4,1000000000000,10000000000000,4.46775132,,,
CsPbBr3,0.4,1000000000000,100000000000000,4.46739885,,,
CsPbBr3,0.4,1000000000000,1E15,4.46345484,,,
CsPbBr3,0.4,10000000000000,10000000000,4.46213994,,,
CsPbBr3,0.4,10000000000000,100000000000,4.46213945,,,
CsPbBr3,0.4,10000000000000,1000000000000,4.46213456,,,
CsPbBr3,0.4,10000000000000,10000000000000,4.46208555,,,
CsPbBr3,0.4,10000000000000,100000000000000,4.46158793,,,
CsPbBr3,0.4,10000000000000,1E15,4.4556928,,,
CsPbBr3,0.4,100000000000000,10000000000,4.41079953,,,
CsPbBr3,0.4,100000000000000,100000000000,4.41079794,,,
